iter	Passed	Remaining
0	245	245695
1	247	123380
2	248	82471
3	249	62016
4	249	49707
5	250	41521
6	252	35851
7	254	31502
8	254	28065
9	255	25315
10	256	23070
11	257	21191
12	258	19601
13	259	18241
14	259	17065
15	260	16030
16	261	15116
17	262	14306
18	263	13581
19	263	12925
20	264	12344
21	266	11850
22	267	11355
23	268	10902
24	268	10489
25	269	10105
26	270	9748
27	271	9420
28	272	9112
29	273	8828
30	273	8561
31	274	8308
32	275	8074
33	276	7850
34	277	7638
35	277	7441
36	279	7263
37	280	7098
38	281	6929
39	281	6767
40	282	6616
41	283	6475
42	284	6337
43	285	6205
44	286	6079
45	287	5958
46	288	5842
47	289	5732
48	289	5625
49	290	5527
50	291	5432
51	293	5347
52	294	5257
53	295	5171
54	295	5085
55	296	5003
56	297	4926
57	298	4849
58	299	4775
59	300	4704
60	301	4634
61	301	4567
62	302	4502
63	303	4439
64	304	4378
65	305	4320
66	306	4267
67	307	4220
68	309	4170
69	309	4116
70	310	4065
71	311	4016
72	312	3968
73	313	3921
74	314	3875
75	315	3829
76	315	3786
77	316	3744
78	317	3703
79	318	3664
80	319	3625
81	320	3587
82	322	3562
83	323	3531
84	324	3495
85	325	3460
86	326	3425
87	327	3392
88	328	3358
89	328	3324
90	329	3292
91	330	3261
92	331	3230
93	332	3200
94	333	3173
95	334	3146
96	334	3116
97	335	3088
98	337	3071
99	338	3048
100	339	3023
101	341	3002
102	344	3002
103	345	2978
104	346	2951
105	347	2929
106	348	2907
107	350	2894
108	352	2880
109	353	2858
110	354	2836
111	355	2815
112	355	2794
113	356	2773
114	357	2753
115	358	2732
116	359	2712
117	360	2692
118	360	2672
119	361	2652
120	362	2633
121	363	2616
122	364	2601
123	365	2585
124	367	2571
125	368	2555
126	369	2538
127	370	2521
128	371	2505
129	372	2490
130	372	2473
131	373	2457
132	374	2442
133	375	2426
134	376	2411
135	377	2398
136	380	2394
137	381	2382
138	382	2368
139	383	2354
140	384	2340
141	385	2327
142	386	2316
143	388	2307
144	389	2296
145	390	2281
146	391	2269
147	392	2257
148	393	2246
149	395	2243
150	397	2232
151	397	2220
152	398	2208
153	399	2196
154	400	2185
155	402	2178
156	404	2172
157	406	2166
158	409	2166
159	412	2163
160	413	2156
161	415	2149
162	417	2143
163	419	2136
164	420	2128
165	421	2119
166	424	2117
167	426	2111
168	427	2103
169	429	2096
170	430	2088
171	432	2081
172	433	2070
173	434	2063
174	436	2059
175	439	2058
176	441	2051
177	442	2044
178	444	2038
179	445	2031
180	447	2025
181	449	2018
182	450	2011
183	452	2007
184	456	2009
185	457	2003
186	459	1997
187	461	1991
188	462	1984
189	463	1977
190	465	1970
191	467	1967
192	471	1970
193	473	1966
194	474	1960
195	476	1953
196	477	1946
197	479	1940
198	481	1938
199	484	1939
200	487	1936
201	488	1930
202	490	1924
203	491	1918
204	493	1914
205	495	1909
206	497	1906
207	500	1905
208	502	1900
209	503	1894
210	505	1889
211	507	1884
212	508	1878
213	510	1874
214	513	1874
215	515	1870
216	516	1865
217	518	1859
218	519	1852
219	521	1847
220	522	1843
221	524	1839
222	529	1845
223	531	1840
224	532	1835
225	534	1830
226	536	1825
227	538	1822
228	542	1825
229	544	1823
230	546	1819
231	547	1814
232	549	1810
233	551	1806
234	553	1803
235	556	1802
236	559	1800
237	562	1800
238	564	1797
239	566	1792
240	568	1788
241	570	1788
242	573	1786
243	576	1784
244	577	1780
245	579	1775
246	581	1771
247	584	1772
248	587	1770
249	590	1771
250	593	1771
251	595	1768
252	598	1765
253	602	1768
254	604	1766
255	605	1760
256	607	1757
257	610	1754
258	613	1756
259	616	1754
260	618	1750
261	619	1745
262	621	1741
263	622	1736
264	624	1732
265	627	1731
266	630	1730
267	631	1726
268	633	1721
269	634	1716
270	636	1712
271	638	1707
272	640	1704
273	643	1704
274	645	1700
275	647	1698
276	649	1694
277	650	1690
278	652	1686
279	654	1683
280	658	1685
281	661	1683
282	662	1679
283	664	1675
284	666	1671
285	668	1668
286	670	1666
287	672	1663
288	674	1658
289	675	1654
290	677	1650
291	678	1645
292	680	1642
293	681	1637
294	683	1633
295	685	1630
296	687	1626
297	688	1622
298	690	1618
299	691	1613
300	692	1609
301	694	1604
302	695	1600
303	697	1595
304	698	1592
305	701	1590
306	702	1585
307	704	1582
308	705	1578
309	707	1575
310	709	1572
311	711	1568
312	716	1572
313	718	1568
314	719	1565
315	721	1562
316	723	1559
317	725	1556
318	728	1555
319	731	1553
320	733	1551
321	735	1547
322	737	1545
323	739	1542
324	740	1538
325	743	1537
326	746	1535
327	748	1533
328	750	1530
329	752	1527
330	754	1524
331	757	1523
332	761	1525
333	763	1522
334	765	1519
335	767	1516
336	769	1512
337	770	1509
338	773	1508
339	776	1506
340	777	1503
341	779	1500
342	782	1498
343	784	1496
344	786	1493
345	791	1495
346	793	1493
347	796	1491
348	798	1488
349	800	1486
350	804	1488
351	806	1485
352	808	1482
353	810	1479
354	812	1475
355	813	1472
356	816	1470
357	818	1468
358	820	1464
359	822	1461
360	824	1458
361	826	1455
362	827	1452
363	829	1449
364	832	1449
365	835	1446
366	837	1443
367	839	1441
368	842	1440
369	844	1438
370	847	1437
371	851	1437
372	854	1435
373	856	1433
374	860	1433
375	864	1434
376	871	1440
377	878	1446
378	882	1446
379	885	1444
380	887	1441
381	890	1440
382	892	1438
383	895	1436
384	897	1434
385	900	1432
386	902	1429
387	906	1429
388	908	1426
389	910	1423
390	912	1420
391	914	1417
392	915	1414
393	918	1413
394	921	1411
395	923	1408
396	925	1405
397	927	1402
398	929	1399
399	931	1397
400	935	1396
401	937	1394
402	939	1391
403	940	1387
404	943	1386
405	947	1385
406	950	1385
407	953	1383
408	955	1380
409	957	1377
410	959	1375
411	961	1372
412	964	1370
413	966	1368
414	968	1365
415	970	1362
416	973	1360
417	975	1357
418	979	1357
419	982	1356
420	984	1354
421	986	1351
422	988	1348
423	992	1347
424	994	1346
425	996	1343
426	999	1340
427	1000	1337
428	1002	1333
429	1003	1330
430	1005	1327
431	1008	1326
432	1010	1323
433	1012	1320
434	1014	1317
435	1015	1314
436	1017	1310
437	1021	1310
438	1026	1311
439	1027	1308
440	1029	1304
441	1034	1305
442	1043	1312
443	1047	1311
444	1049	1308
445	1053	1308
446	1056	1306
447	1059	1305
448	1063	1304
449	1068	1306
450	1072	1305
451	1074	1303
452	1082	1307
453	1089	1309
454	1092	1308
455	1102	1315
456	1105	1313
457	1108	1311
458	1112	1310
459	1116	1310
460	1118	1307
461	1119	1304
462	1121	1301
463	1124	1298
464	1128	1298
465	1130	1295
466	1132	1292
467	1135	1290
468	1138	1289
469	1142	1288
470	1144	1285
471	1146	1282
472	1148	1279
473	1150	1276
474	1153	1274
475	1158	1275
476	1161	1272
477	1163	1270
478	1175	1278
479	1177	1275
480	1179	1273
481	1181	1269
482	1187	1271
483	1190	1268
484	1192	1266
485	1194	1263
486	1196	1259
487	1204	1263
488	1206	1260
489	1208	1257
490	1210	1254
491	1211	1251
492	1213	1248
493	1216	1246
494	1218	1243
495	1220	1239
496	1221	1236
497	1223	1233
498	1224	1229
499	1226	1226
500	1228	1223
501	1232	1222
502	1234	1220
503	1237	1217
504	1240	1215
505	1242	1212
506	1245	1211
507	1249	1209
508	1251	1206
509	1253	1204
510	1255	1201
511	1259	1200
512	1262	1198
513	1264	1195
514	1265	1192
515	1267	1189
516	1269	1186
517	1271	1182
518	1275	1181
519	1278	1179
520	1279	1176
521	1281	1173
522	1282	1169
523	1284	1166
524	1287	1165
525	1291	1163
526	1294	1162
527	1296	1159
528	1299	1157
529	1301	1154
530	1305	1152
531	1307	1149
532	1309	1147
533	1311	1144
534	1312	1141
535	1314	1138
536	1317	1136
537	1321	1135
538	1323	1132
539	1327	1130
540	1329	1128
541	1336	1129
542	1340	1128
543	1342	1125
544	1344	1122
545	1346	1119
546	1352	1120
547	1356	1118
548	1358	1115
549	1360	1113
550	1368	1115
551	1371	1112
552	1373	1110
553	1376	1107
554	1381	1107
555	1384	1105
556	1387	1103
557	1389	1100
558	1390	1097
559	1393	1094
560	1396	1092
561	1398	1089
562	1399	1086
563	1401	1083
564	1403	1080
565	1404	1077
566	1406	1074
567	1409	1071
568	1411	1069
569	1413	1066
570	1415	1063
571	1416	1060
572	1418	1057
573	1419	1053
574	1421	1050
575	1425	1048
576	1426	1045
577	1428	1042
578	1429	1039
579	1431	1036
580	1432	1033
581	1434	1030
582	1441	1031
583	1443	1028
584	1445	1025
585	1447	1022
586	1448	1019
587	1450	1016
588	1452	1013
589	1455	1011
590	1457	1008
591	1459	1005
592	1460	1002
593	1462	999
594	1464	996
595	1466	993
596	1469	991
597	1471	989
598	1473	986
599	1474	983
600	1476	980
601	1477	977
602	1479	974
603	1481	971
604	1483	968
605	1485	966
606	1487	963
607	1488	959
608	1490	956
609	1491	953
610	1493	950
611	1494	947
612	1496	944
613	1500	943
614	1501	940
615	1503	937
616	1505	934
617	1506	931
618	1508	928
619	1510	925
620	1513	923
621	1515	920
622	1516	917
623	1518	914
624	1520	912
625	1523	910
626	1525	907
627	1528	905
628	1530	902
629	1531	899
630	1532	896
631	1534	893
632	1536	890
633	1537	887
634	1539	885
635	1543	883
636	1545	880
637	1547	877
638	1548	874
639	1550	872
640	1552	869
641	1553	866
642	1556	864
643	1559	861
644	1560	858
645	1562	856
646	1563	853
647	1565	850
648	1566	847
649	1568	844
650	1570	841
651	1572	839
652	1574	836
653	1576	833
654	1577	831
655	1579	828
656	1580	825
657	1582	822
658	1584	819
659	1587	817
660	1589	814
661	1590	812
662	1592	809
663	1593	806
664	1595	803
665	1596	800
666	1599	798
667	1602	796
668	1603	793
669	1605	790
670	1607	787
671	1608	785
672	1610	782
673	1611	779
674	1618	779
675	1620	776
676	1621	773
677	1623	771
678	1624	768
679	1626	765
680	1628	762
681	1630	760
682	1633	757
683	1634	755
684	1636	752
685	1637	749
686	1639	746
687	1640	744
688	1642	741
689	1645	739
690	1648	737
691	1649	734
692	1651	731
693	1653	728
694	1655	726
695	1658	724
696	1662	722
697	1664	720
698	1667	717
699	1668	715
700	1670	712
701	1671	709
702	1673	707
703	1677	705
704	1678	702
705	1680	699
706	1682	697
707	1683	694
708	1685	691
709	1691	691
710	1694	688
711	1696	686
712	1698	683
713	1699	680
714	1704	679
715	1707	677
716	1709	674
717	1710	671
718	1712	669
719	1713	666
720	1717	664
721	1721	663
722	1724	660
723	1726	658
724	1728	655
725	1730	653
726	1733	650
727	1736	648
728	1738	646
729	1740	643
730	1741	640
731	1743	638
732	1745	635
733	1749	633
734	1750	631
735	1752	628
736	1753	625
737	1755	623
738	1757	620
739	1758	617
740	1761	615
741	1764	613
742	1766	610
743	1767	608
744	1770	605
745	1772	603
746	1774	600
747	1777	598
748	1779	596
749	1780	593
750	1783	591
751	1784	588
752	1786	585
753	1787	583
754	1789	580
755	1792	578
756	1793	575
757	1795	573
758	1796	570
759	1798	567
760	1799	565
761	1801	562
762	1802	559
763	1804	557
764	1807	555
765	1808	552
766	1810	549
767	1812	547
768	1814	544
769	1815	542
770	1818	540
771	1821	537
772	1823	535
773	1824	532
774	1826	530
775	1828	527
776	1829	525
777	1831	522
778	1834	520
779	1836	518
780	1838	515
781	1839	512
782	1841	510
783	1842	507
784	1844	505
785	1846	502
786	1848	500
787	1851	498
788	1853	495
789	1854	493
790	1856	490
791	1858	488
792	1859	485
793	1865	483
794	1867	481
795	1869	479
796	1870	476
797	1872	473
798	1874	471
799	1878	469
800	1880	467
801	1881	464
802	1883	462
803	1885	459
804	1887	457
805	1888	454
806	1891	452
807	1895	450
808	1897	447
809	1898	445
810	1900	442
811	1902	440
812	1903	437
813	1906	435
814	1910	433
815	1912	431
816	1914	428
817	1916	426
818	1918	423
819	1920	421
820	1923	419
821	1924	416
822	1926	414
823	1928	411
824	1929	409
825	1931	406
826	1933	404
827	1935	401
828	1937	399
829	1939	397
830	1941	394
831	1942	392
832	1944	389
833	1945	387
834	1947	384
835	1949	382
836	1951	379
837	1953	377
838	1954	375
839	1956	372
840	1957	370
841	1959	367
842	1960	365
843	1962	362
844	1964	360
845	1966	357
846	1967	355
847	1969	352
848	1970	350
849	1972	348
850	1973	345
851	1975	343
852	1976	340
853	1978	338
854	1980	335
855	1982	333
856	1983	331
857	1985	328
858	1986	326
859	1988	323
860	1989	321
861	1991	318
862	1993	316
863	1995	314
864	1996	311
865	1998	309
866	2000	306
867	2001	304
868	2003	301
869	2004	299
870	2006	297
871	2008	294
872	2010	292
873	2011	289
874	2013	287
875	2014	285
876	2015	282
877	2017	280
878	2018	277
879	2020	275
880	2021	273
881	2023	270
882	2026	268
883	2027	266
884	2029	263
885	2031	261
886	2032	258
887	2034	256
888	2036	254
889	2038	251
890	2040	249
891	2042	247
892	2043	244
893	2045	242
894	2047	240
895	2049	237
896	2051	235
897	2053	233
898	2055	230
899	2056	228
900	2058	226
901	2059	223
902	2061	221
903	2062	219
904	2064	216
905	2065	214
906	2068	212
907	2070	209
908	2072	207
909	2074	205
910	2075	202
911	2077	200
912	2079	198
913	2080	195
914	2082	193
915	2085	191
916	2087	188
917	2088	186
918	2090	184
919	2092	181
920	2093	179
921	2095	177
922	2097	174
923	2099	172
924	2101	170
925	2102	168
926	2104	165
927	2105	163
928	2107	161
929	2108	158
930	2110	156
931	2112	154
932	2115	151
933	2116	149
934	2118	147
935	2119	144
936	2121	142
937	2122	140
938	2124	137
939	2130	135
940	2131	133
941	2133	131
942	2134	129
943	2136	126
944	2137	124
945	2139	122
946	2141	119
947	2143	117
948	2144	115
949	2146	112
950	2147	110
951	2149	108
952	2150	106
953	2152	103
954	2153	101
955	2155	99
956	2156	96
957	2159	94
958	2160	92
959	2162	90
960	2163	87
961	2165	85
962	2166	83
963	2167	80
964	2169	78
965	2171	76
966	2173	74
967	2175	71
968	2176	69
969	2178	67
970	2180	65
971	2181	62
972	2182	60
973	2183	58
974	2185	56
975	2188	53
976	2189	51
977	2191	49
978	2192	47
979	2194	44
980	2195	42
981	2196	40
982	2198	38
983	2199	35
984	2201	33
985	2204	31
986	2205	29
987	2207	26
988	2208	24
989	2210	22
990	2212	20
991	2213	17
992	2216	15
993	2218	13
994	2219	11
995	2221	8
996	2223	6
997	2225	4
998	2227	2
999	2229	0
