iter	Passed	Remaining
0	1	139
1	2	130
2	3	122
3	4	117
4	5	113
5	7	110
6	8	106
7	9	104
8	10	102
9	11	100
10	12	97
11	13	95
12	13	93
13	14	91
14	15	88
15	16	86
16	17	84
17	18	82
18	18	80
19	19	79
20	20	77
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	58
37	35	57
38	36	56
39	37	55
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
